"equipment_name","serial_number","equipment_type","contract_id","allocation_date","expected_return_date","actual_return_date","equipment_value","status","observations","qr_code_url","patrimony_url","cnpj","created_by","updated_by","deleted_by","deleted_at","id","created_date","updated_date","created_by_id","is_sample"
"GARRAFA TERMICA MAGIC PUMP PTO 1L","GPS14412","outros","6890f388f3819f21201abd21","2025-01-01","","2026-01-29","57.92","devolvido","","https://api.qrserver.com/v1/create-qr-code/?size=200x200&data=https%3A%2F%2Ffacilitagestor360.com.br%2Fpatrimony%2FGPS14412","https://facilitagestor360.com.br/patrimony/GPS14412","14842018000145","rafael.lobato@gpsfacility.com","","","","692703c85eb77c1365b9371e","2025-11-26T13:42:32.965000","2026-01-29T17:17:15.070000","6890c7d607b2a1cba40dc72a","false"
"Amazon Fire Tv Stick 4k Max 16gb","GPS14409","eletronico","6899f22a877c5ab49c2d1c2d","2025-01-01","","","469","em_uso","","https://api.qrserver.com/v1/create-qr-code/?size=200x200&data=https%3A%2F%2Ffacilitagestor360.com.br%2Fpatrimony%2FGPS14409","https://facilitagestor360.com.br/patrimony/GPS14409","14842018000145","rafael.lobato@gpsfacility.com","","","","6927039e8356b1c3cc92d233","2025-11-26T13:41:50.584000","2025-11-26T13:41:50.584000","6890c7d607b2a1cba40dc72a","false"
"ALEXA ECHO DOT 5 GERACAO","GPS14408","eletronico","6899f22a877c5ab49c2d1c2d","2025-01-01","","","390","em_uso","","https://api.qrserver.com/v1/create-qr-code/?size=200x200&data=https%3A%2F%2Ffacilitagestor360.com.br%2Fpatrimony%2FGPS14408","https://facilitagestor360.com.br/patrimony/GPS14408","14842018000145","rafael.lobato@gpsfacility.com","","","","6927038392328b20d1722996","2025-11-26T13:41:23.178000","2025-11-26T13:41:23.178000","6890c7d607b2a1cba40dc72a","false"
"PARAFUSO SEXTAVADO 1/4 X 3/4"" 7","GPS14407-007","outros","6899f22a877c5ab49c2d1c2d","2025-01-01","","","0.25","em_uso","","https://api.qrserver.com/v1/create-qr-code/?size=200x200&data=https%3A%2F%2Ffacilitagestor360.com.br%2Fpatrimony%2FGPS14407-007","https://facilitagestor360.com.br/patrimony/GPS14407-007","14842018000145","rafael.lobato@gpsfacility.com","","","","692703638fb7706628b00d8e","2025-11-26T13:40:51.160000","2025-11-26T13:40:51.160000","6890c7d607b2a1cba40dc72a","false"
"PARAFUSO SEXTAVADO 1/4 X 3/4"" 3","GPS14407-003","outros","6899f22a877c5ab49c2d1c2d","2025-01-01","","","0.25","em_uso","","https://api.qrserver.com/v1/create-qr-code/?size=200x200&data=https%3A%2F%2Ffacilitagestor360.com.br%2Fpatrimony%2FGPS14407-003","https://facilitagestor360.com.br/patrimony/GPS14407-003","14842018000145","rafael.lobato@gpsfacility.com","","","","692703638fb7706628b00d8a","2025-11-26T13:40:51.160000","2025-11-26T13:40:51.160000","6890c7d607b2a1cba40dc72a","false"
"PARAFUSO SEXTAVADO 1/4 X 3/4"" 10","GPS14407-010","outros","6899f22a877c5ab49c2d1c2d","2025-01-01","","","0.25","em_uso","","https://api.qrserver.com/v1/create-qr-code/?size=200x200&data=https%3A%2F%2Ffacilitagestor360.com.br%2Fpatrimony%2FGPS14407-010","https://facilitagestor360.com.br/patrimony/GPS14407-010","14842018000145","rafael.lobato@gpsfacility.com","","","","692703638fb7706628b00d91","2025-11-26T13:40:51.160000","2025-11-26T13:40:51.160000","6890c7d607b2a1cba40dc72a","false"
"PARAFUSO SEXTAVADO 1/4 X 3/4"" 9","GPS14407-009","outros","6899f22a877c5ab49c2d1c2d","2025-01-01","","","0.25","em_uso","","https://api.qrserver.com/v1/create-qr-code/?size=200x200&data=https%3A%2F%2Ffacilitagestor360.com.br%2Fpatrimony%2FGPS14407-009","https://facilitagestor360.com.br/patrimony/GPS14407-009","14842018000145","rafael.lobato@gpsfacility.com","","","","692703638fb7706628b00d90","2025-11-26T13:40:51.160000","2025-11-26T13:40:51.160000","6890c7d607b2a1cba40dc72a","false"
"PARAFUSO SEXTAVADO 1/4 X 3/4"" 4","GPS14407-004","outros","6899f22a877c5ab49c2d1c2d","2025-01-01","","","0.25","em_uso","","https://api.qrserver.com/v1/create-qr-code/?size=200x200&data=https%3A%2F%2Ffacilitagestor360.com.br%2Fpatrimony%2FGPS14407-004","https://facilitagestor360.com.br/patrimony/GPS14407-004","14842018000145","rafael.lobato@gpsfacility.com","","","","692703638fb7706628b00d8b","2025-11-26T13:40:51.160000","2025-11-26T13:40:51.160000","6890c7d607b2a1cba40dc72a","false"
"PARAFUSO SEXTAVADO 1/4 X 3/4"" 6","GPS14407-006","outros","6899f22a877c5ab49c2d1c2d","2025-01-01","","","0.25","em_uso","","https://api.qrserver.com/v1/create-qr-code/?size=200x200&data=https%3A%2F%2Ffacilitagestor360.com.br%2Fpatrimony%2FGPS14407-006","https://facilitagestor360.com.br/patrimony/GPS14407-006","14842018000145","rafael.lobato@gpsfacility.com","","","","692703638fb7706628b00d8d","2025-11-26T13:40:51.160000","2025-11-26T13:40:51.160000","6890c7d607b2a1cba40dc72a","false"
"PARAFUSO SEXTAVADO 1/4 X 3/4"" 11","GPS14407-011","outros","6899f22a877c5ab49c2d1c2d","2025-01-01","","","0.25","em_uso","","https://api.qrserver.com/v1/create-qr-code/?size=200x200&data=https%3A%2F%2Ffacilitagestor360.com.br%2Fpatrimony%2FGPS14407-011","https://facilitagestor360.com.br/patrimony/GPS14407-011","14842018000145","rafael.lobato@gpsfacility.com","","","","692703638fb7706628b00d92","2025-11-26T13:40:51.160000","2025-11-26T13:40:51.160000","6890c7d607b2a1cba40dc72a","false"
"PARAFUSO SEXTAVADO 1/4 X 3/4"" 2","GPS14407-002","outros","6899f22a877c5ab49c2d1c2d","2025-01-01","","","0.25","em_uso","","https://api.qrserver.com/v1/create-qr-code/?size=200x200&data=https%3A%2F%2Ffacilitagestor360.com.br%2Fpatrimony%2FGPS14407-002","https://facilitagestor360.com.br/patrimony/GPS14407-002","14842018000145","rafael.lobato@gpsfacility.com","","","","692703638fb7706628b00d89","2025-11-26T13:40:51.160000","2025-11-26T13:40:51.160000","6890c7d607b2a1cba40dc72a","false"
"PARAFUSO SEXTAVADO 1/4 X 3/4"" 8","GPS14407-008","outros","6899f22a877c5ab49c2d1c2d","2025-01-01","","","0.25","em_uso","","https://api.qrserver.com/v1/create-qr-code/?size=200x200&data=https%3A%2F%2Ffacilitagestor360.com.br%2Fpatrimony%2FGPS14407-008","https://facilitagestor360.com.br/patrimony/GPS14407-008","14842018000145","rafael.lobato@gpsfacility.com","","","","692703638fb7706628b00d8f","2025-11-26T13:40:51.160000","2025-11-26T13:40:51.160000","6890c7d607b2a1cba40dc72a","false"
